cm;-3SD;-2SD;-1SD;0SD;1SD;2SD;3SD;Femenino
114.5;15.6;17;18.6;20.5;22.6;25;27.8;F
115;15.7;17.2;18.8;20.7;22.8;25.2;28.1;F
115.5;15.9;17.3;19;20.9;23;25.5;28.4;F
116;16;17.5;19.2;21.1;23.3;25.8;28.7;F
116.5;16.2;17.7;19.4;21.3;23.5;26.1;29;F
117;16.3;17.8;19.6;21.5;23.8;26.3;29.3;F
117.5;16.5;18;19.8;21.7;24;26.6;29.6;F
118;16.6;18.2;19.9;22;24.2;26.9;29.9;F
118.5;16.8;18.4;20.1;22.2;24.5;27.2;30.3;F
119;16.9;18.5;20.3;22.4;24.7;27.4;30.6;F
119.5;17.1;18.7;20.5;22.6;25;27.7;30.9;F
120;17.3;18.9;20.7;22.8;25.2;28;31.2;F
