cm;-3SD;-2SD;-1SD;0SD;1SD;2SD;3SD;Masculino
65;5.9;6.3;6.9;7.4;8.1;8.8;9.6;M
65.5;6;6.4;7;7.6;8.2;8.9;9.8;M
66;6.1;6.5;7.1;7.7;8.3;9.1;9.9;M
66.5;6.1;6.6;7.2;7.8;8.5;9.2;10.1;M
67;6.2;6.7;7.3;7.9;8.6;9.4;10.2;M
67.5;6.3;6.8;7.4;8;8.7;9.5;10.4;M
68;6.4;6.9;7.5;8.1;8.8;9.6;10.5;M
68.5;6.5;7;7.6;8.2;9;9.8;10.7;M
69;6.6;7.1;7.7;8.4;9.1;9.9;10.8;M
69.5;6.7;7.2;7.8;8.5;9.2;10;11;M
70;6.8;7.3;7.9;8.6;9.3;10.2;11.1;M
70.5;6.9;7.4;8;8.7;9.5;10.3;11.3;M
71;6.9;7.5;8.1;8.8;9.6;10.4;11.4;M
71.5;7;7.6;8.2;8.9;9.7;10.6;11.6;M
72;7.1;7.7;8.3;9;9.8;10.7;11.7;M
72.5;7.2;7.8;8.4;9.1;9.9;10.8;11.8;M
73;7.3;7.9;8.5;9.2;10;11;12;M
73.5;7.4;7.9;8.6;9.3;10.2;11.1;12.1;M
74;7.4;8;8.7;9.4;10.3;11.2;12.2;M
74.5;7.5;8.1;8.8;9.5;10.4;11.3;12.4;M
75;7.6;8.2;8.9;9.6;10.5;11.4;12.5;M
75.5;7.7;8.3;9;9.7;10.6;11.6;12.6;M
76;7.7;8.4;9.1;9.8;10.7;11.7;12.8;M
76.5;7.8;8.5;9.2;9.9;10.8;11.8;12.9;M
77;7.9;8.5;9.2;10;10.9;11.9;13;M
77.5;8;8.6;9.3;10.1;11;12;13.1;M
78;8;8.7;9.4;10.2;11.1;12.1;13.3;M
78.5;8.1;8.8;9.5;10.3;11.2;12.2;13.4;M
79;8.2;8.8;9.6;10.4;11.3;12.3;13.5;M
79.5;8.3;8.9;9.7;10.5;11.4;12.4;13.6;M
80;8.3;9;9.7;10.6;11.5;12.6;13.7;M
80.5;8.4;9.1;9.8;10.7;11.6;12.7;13.8;M
81;8.5;9.2;9.9;10.8;11.7;12.8;14;M
81.5;8.6;9.3;10;10.9;11.8;12.9;14.1;M
82;8.7;9.3;10.1;11;11.9;13;14.2;M
82.5;8.7;9.4;10.2;11.1;12.1;13.1;14.4;M
83;8.8;9.5;10.3;11.2;12.2;13.3;14.5;M
83.5;8.9;9.6;10.4;11.3;12.3;13.4;14.6;M
84;9;9.7;10.5;11.4;12.4;13.5;14.8;M
84.5;9.1;9.9;10.7;11.5;12.5;13.7;14.9;M
85;9.2;10;10.8;11.7;12.7;13.8;15.1;M
85.5;9.3;10.1;10.9;11.8;12.8;13.9;15.2;M
86;9.4;10.2;11;11.9;12.9;14.1;15.4;M
86.5;9.5;10.3;11.1;12;13.1;14.2;15.5;M
87;9.6;10.4;11.2;12.2;13.2;14.4;15.7;M
87.5;9.7;10.5;11.3;12.3;13.3;14.5;15.8;M
88;9.8;10.6;11.5;12.4;13.5;14.7;16;M
88.5;9.9;10.7;11.6;12.5;13.6;14.8;16.1;M
89;10;10.8;11.7;12.6;13.7;14.9;16.3;M
89.5;10.1;10.9;11.8;12.8;13.9;15.1;16.4;M
90;10.2;11;11.9;12.9;14;15.2;16.6;M
90.5;10.3;11.1;12;13;14.1;15.3;16.7;M
91;10.4;11.2;12.1;13.1;14.2;15.5;16.9;M
91.5;10.5;11.3;12.2;13.2;14.4;15.6;17;M
92;10.6;11.4;12.3;13.4;14.5;15.8;17.2;M
92.5;10.7;11.5;12.4;13.5;14.6;15.9;17.3;M
93;10.8;11.6;12.6;13.6;14.7;16;17.5;M
93.5;10.9;11.7;12.7;13.7;14.9;16.2;17.6;M
94;11;11.8;12.8;13.8;15;16.3;17.8;M
94.5;11.1;11.9;12.9;13.9;15.1;16.5;17.9;M
95;11.1;12;13;14.1;15.3;16.6;18.1;M
95.5;11.2;12.1;13.1;14.2;15.4;16.7;18.3;M
96;11.3;12.2;13.2;14.3;15.5;16.9;18.4;M
96.5;11.4;12.3;13.3;14.4;15.7;17;18.6;M
97;11.5;12.4;13.4;14.6;15.8;17.2;18.8;M
97.5;11.6;12.5;13.6;14.7;15.9;17.4;18.9;M
98;11.7;12.6;13.7;14.8;16.1;17.5;19.1;M
98.5;11.8;12.8;13.8;14.9;16.2;17.7;19.3;M
99;11.9;12.9;13.9;15.1;16.4;17.9;19.5;M
99.5;12;13;14;15.2;16.5;18;19.7;M
100;12.1;13.1;14.2;15.4;16.7;18.2;19.9;M
