cm;-3SD;-2SD;-1SD;0SD;1SD;2SD;3SD;Masculino
100.5;12.2;13.2;14.3;15.5;16.9;18.4;20.1;M
101;12.3;13.3;14.4;15.6;17;18.5;20.3;M
101.5;12.4;13.4;14.5;15.8;17.2;18.7;20.5;M
102;12.5;13.6;14.7;15.9;17.3;18.9;20.7;M
102.5;12.6;13.7;14.8;16.1;17.5;19.1;20.9;M
103;12.8;13.8;14.9;16.2;17.7;19.3;21.1;M
103.5;12.9;13.9;15.1;16.4;17.8;19.5;21.3;M
104;13;14;15.2;16.5;18;19.7;21.6;M
104.5;13.1;14.2;15.4;16.7;18.2;19.9;21.8;M
105;13.2;14.3;15.5;16.8;18.4;20.1;22;M
105.5;13.3;14.4;15.6;17;18.5;20.3;22.2;M
106;13.4;14.5;15.8;17.2;18.7;20.5;22.5;M
106.5;13.5;14.7;15.9;17.3;18.9;20.7;22.7;M
107;13.7;14.8;16.1;17.5;19.1;20.9;22.9;M
107.5;13.8;14.9;16.2;17.7;19.3;21.1;23.2;M
108;13.9;15.1;16.4;17.8;19.5;21.3;23.4;M
108.5;14;15.2;16.5;18;19.7;21.5;23.7;M
109;14.1;15.3;16.7;18.2;19.8;21.8;23.9;M
109.5;14.3;15.5;16.8;18.3;20;22;24.2;M
110;14.4;15.6;17;18.5;20.2;22.2;24.4;M
110.5;14.5;15.8;17.1;18.7;20.4;22.4;24.7;M
111;14.6;15.9;17.3;18.9;20.7;22.7;25;M
111.5;14.8;16;17.5;19.1;20.9;22.9;25.2;M
112;14.9;16.2;17.6;19.2;21.1;23.1;25.5;M
112.5;15;16.3;17.8;19.4;21.3;23.4;25.8;M
113;15.2;16.5;18;19.6;21.5;23.6;26;M
113.5;15.3;16.6;18.1;19.8;21.7;23.9;26.3;M
114;15.4;16.8;18.3;20;21.9;24.1;26.6;M
114.5;15.6;16.9;18.5;20.2;22.1;24.4;26.9;M
115;15.7;17.1;18.6;20.4;22.4;24.6;27.2;M
115.5;15.8;17.2;18.8;20.6;22.6;24.9;27.5;M
116;16;17.4;19;20.8;22.8;25.1;27.8;M
116.5;16.1;17.5;19.2;21;23;25.4;28;M
117;16.2;17.7;19.3;21.2;23.3;25.6;28.3;M
117.5;16.4;17.9;19.5;21.4;23.5;25.9;28.6;M
118;16.5;18;19.7;21.6;23.7;26.1;28.9;M
118.5;16.7;18.2;19.9;21.8;23.9;26.4;29.2;M
119;16.8;18.3;20;22;24.1;26.6;29.5;M
119.5;16.9;18.5;20.2;22.2;24.4;26.9;29.8;M
120;17.1;18.6;20.4;22.4;24.6;27.2;30.1;M
